goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2634210613 ns/op	1345641600 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3610591816 ns/op	1345641584 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2669420395 ns/op	1345641584 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2355304473 ns/op	1345641584 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	4657991829 ns/op	1345641584 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	3180113633 ns/op	1345641584 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2857688742 ns/op	1345641568 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=5/reduction=mixed-128      	       1	2265921571 ns/op	1345641568 B/op	     597 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2416884538 ns/op	1308936480 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3165012033 ns/op	1308936496 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	4036881043 ns/op	1308936480 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	1739289708 ns/op	1308936480 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3298744678 ns/op	1308936480 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2167009761 ns/op	1308936480 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	2792954771 ns/op	1308936480 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3229950125 ns/op	1308936496 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3482595366 ns/op	1308936480 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=sweep-128      	       1	3816739167 ns/op	1308936496 B/op	     471 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2261203776 ns/op	1121239240 B/op	     246 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	3787597491 ns/op	1121239512 B/op	     249 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	3677518428 ns/op	1121239240 B/op	     246 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	2390628376 ns/op	1121239320 B/op	     247 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=6/reduction=parallel-128   	       1	1877746024 ns/op	1121239224 B/op	     246 allocs/op
