goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	14191023545 ns/op	4074132400 B/op	    1749 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	13192848652 ns/op	4074132560 B/op	    1751 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	10034017634 ns/op	4074132400 B/op	    1749 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	12080866385 ns/op	3531970672 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	11977963102 ns/op	3531970656 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	11592512106 ns/op	3531970752 B/op	     973 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	11866649043 ns/op	3531970656 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	11306546204 ns/op	3531970848 B/op	     974 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	11392525457 ns/op	3531970672 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	10085428747 ns/op	3531970656 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	11316443312 ns/op	3531970672 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	9977538576 ns/op	3531970656 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	10871045442 ns/op	3531970656 B/op	     972 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	13905022587 ns/op	4074134608 B/op	    1800 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	11909319611 ns/op	4074134976 B/op	    1804 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	14200833419 ns/op	4074134688 B/op	    1801 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	12567945010 ns/op	4074134608 B/op	    1800 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	14709794877 ns/op	4074134800 B/op	    1802 allocs/op
