goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	15540762030 ns/op	3563444520 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	18234215410 ns/op	3563444504 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	22171808060 ns/op	3563444520 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	18209062733 ns/op	3563444536 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	17135307391 ns/op	3563444520 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	19289287936 ns/op	3563444520 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	20309828800 ns/op	3563444504 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11492261918 ns/op	3563444520 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	15969678734 ns/op	3563444536 B/op	     826 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	19247691762 ns/op	4062625352 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	16149164032 ns/op	4062625368 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	14596033312 ns/op	4062625384 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	23006859261 ns/op	4062625368 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	21194458880 ns/op	4062625368 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	17896280550 ns/op	4062625368 B/op	    1766 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	14705568296 ns/op	4062625368 B/op	    1766 allocs/op
